subj_locus	gene	seq_count	seq_freq	sample_id	subject_id	locus
SRR1383463_M5_IG	IGHV3-49	11	0.00231043898340685	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV4-34	11	0.00231043898340685	SRR1383463	M5	IG
SRR1383464_M5_IG	IGHV3-23	11	0.0104961832061069	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV3-7	11	0.0104961832061069	SRR1383464	M5	IG
SRR1383451_M4_IG	IGHV3-30-3	10	0.00368052999631947	SRR1383451	M4	IG
SRR1383453_M4_IG	IGHV1-3	10	0.0103626943005181	SRR1383453	M4	IG
SRR1383464_M5_IG	IGHV3-48	10	0.00954198473282443	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV3-74	10	0.00954198473282443	SRR1383464	M5	IG
SRR1383465_M5_IG	IGHV3-74	10	0.00577700751010976	SRR1383465	M5	IG
SRR1383451_M4_IG	IGHV1-45	9	0.00331247699668752	SRR1383451	M4	IG
SRR1383451_M4_IG	IGHV3-53	9	0.00331247699668752	SRR1383451	M4	IG
SRR1383451_M4_IG	IGHV4-4	9	0.00331247699668752	SRR1383451	M4	IG
SRR1383452_M4_IG	IGHV1-24	9	0.0100111234705228	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV3-13	9	0.0100111234705228	SRR1383452	M4	IG
SRR1383463_M5_IG	IGHV3-43	9	0.00189035916824197	SRR1383463	M5	IG
SRR1383464_M5_IG	IGHV1-24	9	0.00858778625954199	SRR1383464	M5	IG
SRR1383465_M5_IG	IGHV5-51	9	0.00519930675909879	SRR1383465	M5	IG
SRR1383467_M5_IG	IGHV3-30	9	0.1125	SRR1383467	M5	IG
SRR1383468_M5_IG	IGHV3-7	9	0.138461538461538	SRR1383468	M5	IG
SRR1383451_M4_IG	IGHV2-70	8	0.00294442399705558	SRR1383451	M4	IG
SRR1383453_M4_IG	IGHV3-64	8	0.00829015544041451	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV3-72	8	0.00829015544041451	SRR1383453	M4	IG
SRR1383465_M5_IG	IGHV3-53	8	0.00462160600808781	SRR1383465	M5	IG
SRR1383452_M4_IG	IGHV3-72	7	0.00778642936596218	SRR1383452	M4	IG
SRR1383453_M4_IG	IGHV3-30-3	7	0.00725388601036269	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV3-73	7	0.00725388601036269	SRR1383453	M4	IG
SRR1383463_M5_IG	IGHV3-73	7	0.00147027935307708	SRR1383463	M5	IG
SRR1383464_M5_IG	IGHV3-13	7	0.0066793893129771	SRR1383464	M5	IG
SRR1383451_M4_IG	IGHV3-43	6	0.00220831799779168	SRR1383451	M4	IG
SRR1383451_M4_IG	IGHV4-39	6	0.00220831799779168	SRR1383451	M4	IG
SRR1383451_M4_IG	IGHV4-61	6	0.00220831799779168	SRR1383451	M4	IG
SRR1383463_M5_IG	IGHV3-64	6	0.00126023944549464	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV4-39	6	0.00126023944549464	SRR1383463	M5	IG
SRR1383464_M5_IG	IGHV2-26	6	0.00572519083969466	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV3-53	6	0.00572519083969466	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV4-61	6	0.00572519083969466	SRR1383464	M5	IG
SRR1383465_M5_IG	IGHV2-26	6	0.00346620450606586	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV3-49	6	0.00346620450606586	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV4-4	6	0.00346620450606586	SRR1383465	M5	IG
SRR1383466_M5_IG	IGHV3-30	6	0.24	SRR1383466	M5	IG
SRR1383467_M5_IG	IGHV3-23	6	0.075	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV4-30-4	6	0.075	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV4-61	6	0.075	SRR1383467	M5	IG
SRR1383468_M5_IG	IGHV4-61	6	0.0923076923076923	SRR1383468	M5	IG
SRR1383451_M4_IG	IGHV6-1	5	0.00184026499815974	SRR1383451	M4	IG
SRR1383452_M4_IG	IGHV1-3	5	0.00556173526140156	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV3-30-3	5	0.00556173526140156	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV3-73	5	0.00556173526140156	SRR1383452	M4	IG
SRR1383453_M4_IG	IGHV3-13	5	0.00518134715025907	SRR1383453	M4	IG
SRR1383464_M5_IG	IGHV3-72	5	0.00477099236641221	SRR1383464	M5	IG
SRR1383465_M5_IG	IGHV1-58	5	0.00288850375505488	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV1-69-2	5	0.00288850375505488	SRR1383465	M5	IG
SRR1383467_M5_IG	IGHV4-59	5	0.0625	SRR1383467	M5	IG
SRR1383451_M4_IG	IGHV4-34	4	0.00147221199852779	SRR1383451	M4	IG
SRR1383453_M4_IG	IGHV2-70	4	0.00414507772020725	SRR1383453	M4	IG
SRR1383463_M5_IG	IGHV6-1	4	0.000840159630329763	SRR1383463	M5	IG
SRR1383464_M5_IG	IGHV4-4	4	0.00381679389312977	SRR1383464	M5	IG
SRR1383466_M5_IG	IGHV3-7	4	0.16	SRR1383466	M5	IG
SRR1383467_M5_IG	IGHV1-18	4	0.05	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV2-5	4	0.05	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-15	4	0.05	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV4-30-2	4	0.05	SRR1383467	M5	IG
SRR1383468_M5_IG	IGHV4-30-2	4	0.0615384615384615	SRR1383468	M5	IG
SRR1383451_M4_IG	IGHV1-58	3	0.00110415899889584	SRR1383451	M4	IG
SRR1383451_M4_IG	IGHV4-31	3	0.00110415899889584	SRR1383451	M4	IG
SRR1383452_M4_IG	IGHV1-45	3	0.00333704115684093	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV4-31	3	0.00333704115684093	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV4-61	3	0.00333704115684093	SRR1383452	M4	IG
SRR1383453_M4_IG	IGHV3-43	3	0.00310880829015544	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV4-61	3	0.00310880829015544	SRR1383453	M4	IG
SRR1383464_M5_IG	IGHV3-49	3	0.00286259541984733	SRR1383464	M5	IG
SRR1383465_M5_IG	IGHV3-64	3	0.00173310225303293	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV3-73	3	0.00173310225303293	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV4-39	3	0.00173310225303293	SRR1383465	M5	IG
SRR1383466_M5_IG	IGHV3-21	3	0.12	SRR1383466	M5	IG
SRR1383467_M5_IG	IGHV1-24	3	0.0375	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV1-69	3	0.0375	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-7	3	0.0375	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-9	3	0.0375	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV5-51	3	0.0375	SRR1383467	M5	IG
SRR1383468_M5_IG	IGHV3-11	3	0.0461538461538462	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV3-15	3	0.0461538461538462	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV3-23	3	0.0461538461538462	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV3-30-3	3	0.0461538461538462	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV4-59	3	0.0461538461538462	SRR1383468	M5	IG
SRR1383451_M4_IG	IGHV3-30-5	2	0.000736105999263894	SRR1383451	M4	IG
SRR1383452_M4_IG	IGHV2-70	2	0.00222469410456062	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV3-43	2	0.00222469410456062	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV4-39	2	0.00222469410456062	SRR1383452	M4	IG
SRR1383453_M4_IG	IGHV1-45	2	0.00207253886010363	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV1-58	2	0.00207253886010363	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV4-4	2	0.00207253886010363	SRR1383453	M4	IG
SRR1383456_M4_IG	IGHV4-4	2	0.333333333333333	SRR1383456	M4	IG
SRR1383463_M5_IG	IGHV1-45	2	0.000420079815164881	SRR1383463	M5	IG
SRR1383464_M5_IG	IGHV3-43	2	0.00190839694656489	SRR1383464	M5	IG
SRR1383465_M5_IG	IGHV1-45	2	0.00115540150202195	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV3-43	2	0.00115540150202195	SRR1383465	M5	IG
SRR1383466_M5_IG	IGHV1-2	2	0.08	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV4-59	2	0.08	SRR1383466	M5	IG
SRR1383467_M5_IG	IGHV1-2	2	0.025	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV1-46	2	0.025	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-21	2	0.025	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-30-3	2	0.025	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-74	2	0.025	SRR1383467	M5	IG
SRR1383468_M5_IG	IGHV1-2	2	0.0307692307692308	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV3-53	2	0.0307692307692308	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV3-74	2	0.0307692307692308	SRR1383468	M5	IG
SRR1383451_M4_IG	IGHV2-26	1	0.000368052999631947	SRR1383451	M4	IG
SRR1383451_M4_IG	IGHV3-20	1	0.000368052999631947	SRR1383451	M4	IG
SRR1383451_M4_IG	IGHV4-30-2	1	0.000368052999631947	SRR1383451	M4	IG
SRR1383452_M4_IG	IGHV3-53	1	0.00111234705228031	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV4-34	1	0.00111234705228031	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV4-4	1	0.00111234705228031	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV6-1	1	0.00111234705228031	SRR1383452	M4	IG
SRR1383453_M4_IG	IGHV3-20	1	0.00103626943005181	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV3-53	1	0.00103626943005181	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV4-31	1	0.00103626943005181	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV4-34	1	0.00103626943005181	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV4-39	1	0.00103626943005181	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV6-1	1	0.00103626943005181	SRR1383453	M4	IG
SRR1383456_M4_IG	IGHV1-8	1	0.166666666666667	SRR1383456	M4	IG
SRR1383456_M4_IG	IGHV2-5	1	0.166666666666667	SRR1383456	M4	IG
SRR1383456_M4_IG	IGHV3-7	1	0.166666666666667	SRR1383456	M4	IG
SRR1383456_M4_IG	IGHV4-30-2	1	0.166666666666667	SRR1383456	M4	IG
SRR1383463_M5_IG	IGHV3-30-5	1	0.000210039907582441	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV3-69-1	1	0.000210039907582441	SRR1383463	M5	IG
SRR1383464_M5_IG	IGHV1-45	1	0.000954198473282443	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV1-58	1	0.000954198473282443	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV1-69-2	1	0.000954198473282443	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV3-30-5	1	0.000954198473282443	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV3-64	1	0.000954198473282443	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV3-73	1	0.000954198473282443	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV4-31	1	0.000954198473282443	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV4-34	1	0.000954198473282443	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV4-39	1	0.000954198473282443	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV6-1	1	0.000954198473282443	SRR1383464	M5	IG
SRR1383465_M5_IG	IGHV3-69-1	1	0.000577700751010976	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV4-31	1	0.000577700751010976	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV4-34	1	0.000577700751010976	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV6-1	1	0.000577700751010976	SRR1383465	M5	IG
SRR1383466_M5_IG	IGHV1-18	1	0.04	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV3-15	1	0.04	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV3-23	1	0.04	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV3-9	1	0.04	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV4-30-2	1	0.04	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV4-4	1	0.04	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV4-61	1	0.04	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV7-4-1	1	0.04	SRR1383466	M5	IG
SRR1383467_M5_IG	IGHV1-3	1	0.0125	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-11	1	0.0125	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-33	1	0.0125	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-49	1	0.0125	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-72	1	0.0125	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV6-1	1	0.0125	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV7-4-1	1	0.0125	SRR1383467	M5	IG
SRR1383468_M5_IG	IGHV1-18	1	0.0153846153846154	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV1-45	1	0.0153846153846154	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV1-69	1	0.0153846153846154	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV1-8	1	0.0153846153846154	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV2-5	1	0.0153846153846154	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV3-21	1	0.0153846153846154	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV3-73	1	0.0153846153846154	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV4-30-4	1	0.0153846153846154	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV4-4	1	0.0153846153846154	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV5-51	1	0.0153846153846154	SRR1383468	M5	IG
